Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,352851;0,072630;0,119148;5,441217;8170,350733;-2169835652,623548;0,003743;0,250000;9,296311;0,060024;0,059124;0,850000;0,282051;0,098510;0,020000;0,009545;0,011250;3000,000000;97,134324;13,249965;5,453942;2,022238;1,006332;3,020840;6,001800
2;0,355883;0,070140;0,114646;5,437599;8195,633964;-1433158890,276581;0,005263;0,250000;9,018783;0,057723;0,056923;0,803333;0,250000;0,104537;0,028333;0,007273;0,002500;3000,000000;94,501484;12,896851;5,543843;2,034066;1,003999;3,005452;5,998000
3;0,311750;0,088550;0,147144;5,383064;7990,032031;1741393522,252787;0,001607;0,250000;7,055030;0,071421;0,075723;0,876667;0,323750;0,143207;0,038333;0,007273;0,008750;3000,000000;98,481014;13,780541;5,777404;2,067277;1,003451;3,013064;5,999000
4;0,312312;0,088760;0,145387;5,386355;7995,489820;1606644490,944984;0,003494;0,250000;7,124036;0,073644;0,071743;0,823333;0,314572;0,147876;0,025000;0,007276;0,008750;3000,000000;95,900935;13,612627;5,791814;2,043670;1,004885;3,007908;5,999400
5;0,306257;0,090890;0,152161;5,376059;7965,255772;2097379516,609049;0,002582;0,250000;6,850187;0,072929;0,079232;0,866667;0,358750;0,141459;0,041667;0,010000;0,005000;3000,000000;97,610073;14,218608;5,766662;2,074725;1,006118;3,010559;5,998800
6;0,349872;0,073010;0,120724;5,434106;8160,540638;-1579206524,196553;0,003863;0,250000;8,988239;0,060212;0,060512;0,856667;0,257661;0,110247;0,028333;0,008636;0,007500;3000,000000;96,990896;12,977621;5,544469;2,043902;1,006132;3,013715;6,000600
7;0,327952;0,081150;0,134327;5,402377;8062,282850;695040268,346149;0,003115;0,250000;7,694234;0,066313;0,068014;0,826667;0,306250;0,124055;0,040000;0,007273;0,008750;3000,000000;96,067637;13,571321;5,665998;2,065826;1,005250;3,016472;6,000600
8;0,347549;0,074180;0,123437;5,430219;8145,404571;-1254840175,786149;0,003252;0,250000;8,825236;0,059418;0,064019;0,800000;0,292240;0,108024;0,036667;0,006364;0,006250;3000,000000;94,124529;13,377804;5,540685;2,048153;1,004400;3,012112;5,999600
9;0,347250;0,074270;0,123825;5,429979;8148,180183;-1143918013,467962;0,003086;0,250000;8,771387;0,059812;0,064013;0,800000;0,293750;0,109382;0,016667;0,006818;0,013750;3000,000000;93,838872;13,382081;5,549879;2,026534;1,003817;3,025654;5,998000
10;0,325296;0,083360;0,138083;5,402071;8051,018912;707567874,107247;0,004254;0,250000;7,669363;0,067440;0,070642;0,846667;0,320000;0,125695;0,041667;0,006818;0,011250;3000,000000;98,450911;13,731785;5,649683;2,077985;1,002996;3,014779;6,000600
11;0,341901;0,077010;0,128264;5,423383;8122,359368;-720566613,067568;0,004286;0,250000;8,516133;0,061131;0,067134;0,800000;0,273467;0,125639;0,031667;0,006364;0,008750;3000,000000;93,304515;13,117949;5,657656;2,046268;1,003846;3,014920;5,998800
12;0,329814;0,081480;0,135241;5,407898;8069,558735;282257325,699466;0,004417;0,250000;7,909476;0,065620;0,069621;0,853333;0,294375;0,128946;0,038333;0,006821;0,008750;3000,000000;96,282685;13,408217;5,683869;2,055217;1,004144;3,011912;5,999400
13;0,332445;0,080190;0,131639;5,412458;8085,988574;101151933,403963;0,002521;0,250000;8,030464;0,066820;0,064819;0,840000;0,288305;0,125611;0,030000;0,006364;0,007500;3000,000000;98,404267;13,388554;5,627048;2,041281;1,003834;3,012567;5,998200
14;0,358887;0,069640;0,115523;5,444217;8206,533879;-2086390502,172756;0,004576;0,250000;9,361113;0,056411;0,059112;0,806667;0,276423;0,096466;0,033333;0,004545;0,008750;3000,000000;96,140945;13,114310;5,477196;2,039163;1,003240;3,013919;6,002000
15;0,356954;0,071920;0,119372;5,446744;8191,854076;-2359223219,331379;0,004601;0,250000;9,501392;0,056934;0,062437;0,820000;0,274375;0,106762;0,018333;0,006818;0,002500;3000,000000;94,403867;13,085769;5,505947;2,020766;1,003670;3,005603;5,998800
16;0,352851;0,072560;0,118536;5,440352;8175,072032;-1824913462,521795;0,004163;0,250000;9,158365;0,060218;0,058317;0,836667;0,250782;0,110222;0,031720;0,006364;0,005000;3000,000000;95,839435;12,845019;5,538299;2,044091;1,003524;3,010059;5,998400
17;0,366039;0,068570;0,112045;5,462597;8236,533089;-3373609294,893875;0,003429;0,250000;10,112265;0,056823;0,055222;0,790000;0,248280;0,099378;0,033389;0,004545;0,011250;3000,000000;93,977710;12,765758;5,445951;2,031758;1,002244;3,020534;6,001400
18;0,325437;0,082130;0,133600;5,402241;8052,168149;632673770,003882;0,002804;0,250000;7,668363;0,069900;0,063700;0,866667;0,307500;0,118000;0,035000;0,011818;0,007500;3000,000000;97,276754;13,598197;5,621501;2,064797;1,007651;3,006754;5,998400
19;0,327638;0,081460;0,134740;5,403588;8062,052177;512037363,461660;0,001752;0,250000;7,761860;0,067320;0,067420;0,836120;0,325000;0,116052;0,053333;0,007727;0,007500;3000,000000;95,957169;13,927362;5,596927;2,086061;1,004800;3,007404;6,000800
20;0,329384;0,081430;0,132966;5,409712;8072,370627;282509100,815075;0,003097;0,250000;7,903107;0,068834;0,064132;0,840000;0,307067;0,122304;0,025042;0,006364;0,008750;3000,000000;96,319074;13,559197;5,622095;2,033247;1,004011;3,009507;5,999200
21;0,329705;0,080940;0,134840;5,405508;8069,976928;398974886,754609;0,002125;0,250000;7,836762;0,065520;0,069321;0,853333;0,301875;0,126751;0,035000;0,006818;0,003750;3000,000000;97,557927;13,502412;5,664362;2,056021;1,004727;3,003302;5,998600
22;0,330542;0,080910;0,135368;5,405594;8072,187549;424162358,535723;0,004715;0,250000;7,847527;0,063932;0,071436;0,816667;0,317073;0,121805;0,040000;0,010459;0,007500;3000,000000;95,803554;13,791620;5,642301;2,067154;1,006514;3,008055;6,000800
23;0,360932;0,069880;0,116258;5,449414;8213,425749;-2492773794,397182;0,003536;0,250000;9,596191;0,055528;0,060730;0,826087;0,271420;0,099800;0,023333;0,006364;0,005006;3000,000000;95,683212;13,045429;5,476437;2,027962;1,002990;3,009469;6,001800
24;0,350685;0,073500;0,119071;5,438876;8166,918962;-1637611159,851801;0,005032;0,250000;9,051658;0,062037;0,057034;0,816667;0,249061;0,112075;0,040000;0,005909;0,007500;3000,000000;95,197796;12,799424;5,556866;2,052587;1,003106;3,012262;6,000400
25;0,345920;0,075310;0,123862;5,429911;8143,639450;-1026232619,506434;0,003720;0,250000;8,713010;0,061131;0,062731;0,820000;0,271250;0,114101;0,035058;0,008182;0,007500;3000,000000;96,007382;13,080742;5,585774;2,042059;1,004915;3,012319;5,997600
26;0,341529;0,075450;0,122224;5,419404;8131,831269;-277709179,378539;0,002454;0,250000;8,288911;0,063813;0,058412;0,813333;0,262500;0,116274;0,031667;0,004091;0,008750;3000,000000;95,992931;13,008485;5,608677;2,058601;1,002760;3,018934;5,999400
27;0,373629;0,065140;0,100460;5,473381;8284,942648;-4219005679,159850;0,004912;0,250000;10,554237;0,059636;0,040824;0,756667;0,210131;0,088281;0,028428;0,007727;0,012500;3000,000000;91,846870;12,277114;5,378794;2,043341;1,004132;3,020690;6,000800
28;0,341034;0,077510;0,126563;5,426783;8112,582263;-916867168,076943;0,004651;0,250000;8,610136;0,064032;0,062531;0,830000;0,281778;0,115581;0,030050;0,009545;0,008750;3000,000000;95,247388;13,243283;5,577747;2,042150;1,004903;3,015219;6,002200
29;0,298003;0,093620;0,155578;5,361149;7941,546646;3142508434,170800;0,003540;0,250000;6,322423;0,075638;0,079940;0,860000;0,350625;0,154582;0,031667;0,006367;0,010000;3000,000000;97,398795;14,232551;5,878876;2,060406;1,004132;3,010809;6,001600
30;0,311467;0,089060;0,150345;5,381206;7987,209048;1880781408,925645;0,001906;0,250000;7,023296;0,069021;0,081324;0,870000;0,355625;0,139426;0,050000;0,006364;0,002500;3000,000000;97,466794;14,184588;5,762377;2,070607;1,004599;3,003601;6,000600
