Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,336403;0,080240;0,118412;5,408781;8082,832251;138408334,590362;0,004276;0,250000;8,171683;0,062280;0,056132;0,872792;0,249052;0,112405;0,026756;0,004558;0,007500;3000,000000;98,526190;12,913765;5,585621;2,043079;1,002637;3,010960;6,000000
2;0,342547;0,079270;0,120210;5,419518;8095,060411;-438280058,426453;0,005738;0,250000;8,579525;0,056374;0,063836;0,812057;0,267641;0,111111;0,026711;0,010914;0,007509;3000,000000;94,492052;13,025795;5,588756;2,041969;1,005870;3,010520;6,000000
3;0,341601;0,080150;0,123905;5,422590;8085,195313;-933821470,709344;0,005176;0,250000;8,775663;0,057419;0,066485;0,823129;0,283639;0,108866;0,041667;0,008644;0,012547;3000,000000;95,310715;13,185367;5,547212;2,057327;1,004717;3,018762;6,000000
4;0,350612;0,076680;0,108187;5,439731;8133,053045;-2192002292,539309;0,002989;0,250000;9,484190;0,062210;0,045977;0,800712;0,245558;0,095185;0,020101;0,007276;0,010000;3000,000000;93,154352;12,686956;5,418557;2,027727;1,003981;3,012012;6,000000
5;0,335261;0,081360;0,126499;5,404923;8070,017795;485413829,714165;0,005045;0,250000;8,058052;0,057151;0,069348;0,836879;0,281369;0,120744;0,026756;0,006364;0,007509;3000,000000;96,689514;13,203883;5,654722;2,040606;1,004399;3,012013;6,000000
6;0,314732;0,089800;0,136432;5,381089;7977,127045;1555041009,024769;0,002462;0,250000;7,321265;0,066956;0,069477;0,878571;0,303685;0,130542;0,038333;0,005457;0,013784;3000,000000;99,135509;13,575813;5,687368;2,059942;1,003823;3,024700;6,000000
7;0,338156;0,080570;0,123804;5,414447;8080,117296;-229261407,299434;0,004003;0,250000;8,402220;0,059333;0,064471;0,818182;0,283818;0,112730;0,028381;0,009099;0,007500;3000,000000;95,288631;13,150284;5,596026;2,030984;1,005877;3,013765;6,000000
8;0,327420;0,084870;0,128655;5,399529;8036,006862;657709515,828144;0,003489;0,250000;7,869775;0,063823;0,064832;0,829268;0,295613;0,119480;0,033389;0,005457;0,010013;3000,000000;96,054087;13,397292;5,615435;2,043793;1,003464;3,016740;6,000000
9;0,347509;0,076760;0,114997;5,425152;8125,934712;-993588997,960543;0,003257;0,250000;8,872650;0,056743;0,058254;0,823944;0,266201;0,099799;0,033501;0,006367;0,010013;3000,000000;95,866837;12,952383;5,510857;2,059748;1,004363;3,017395;6,000000
10;0,341719;0,079040;0,119069;5,420487;8100,491209;-548514804,065000;0,003750;0,250000;8,585979;0,060038;0,059031;0,844828;0,282278;0,100224;0,030050;0,008640;0,008761;3000,000000;96,979840;13,202130;5,502410;2,035725;1,005598;3,012728;6,000000
11;0,341503;0,079650;0,117600;5,418815;8097,563948;-311239576,257480;0,004087;0,250000;8,531058;0,060212;0,057388;0,810526;0,260483;0,108623;0,026891;0,007734;0,008772;3000,000000;94,662462;12,946846;5,553239;2,043022;1,005163;3,014804;6,000000
12;0,310397;0,092090;0,140034;5,379751;7959,570220;1843799381,929107;0,003190;0,250000;7,157466;0,070269;0,069765;0,877193;0,313688;0,134499;0,025084;0,008644;0,012516;3000,000000;98,218149;13,689590;5,702505;2,036626;1,004832;3,013478;6,000000
13;0,343482;0,078820;0,117220;5,421429;8103,427069;-710941814,497117;0,003722;0,250000;8,709139;0,058509;0,058711;0,843206;0,246506;0,110339;0,031720;0,005920;0,010025;3000,000000;97,445250;12,816562;5,547453;2,044265;1,003954;3,013347;6,000000
14;0,315095;0,089800;0,137124;5,382083;7980,194523;1693334469,575667;0,002250;0,250000;7,273536;0,066747;0,070377;0,883803;0,309690;0,130045;0,028381;0,007283;0,008761;3000,000000;98,528176;13,666719;5,689282;2,042725;1,004172;3,012729;6,000000
15;0,331393;0,084370;0,124798;5,407164;8043,242695;323852885,846162;0,005198;0,250000;8,153576;0,062298;0,062500;0,819853;0,286349;0,115092;0,035294;0,007738;0,012516;3000,000000;94,236376;13,249762;5,590900;2,058582;1,004845;3,016994;6,000000
16;0,322927;0,086910;0,133091;5,393238;8012,207318;1036840301,685631;0,002157;0,250000;7,659357;0,064025;0,069066;0,859155;0,285624;0,131254;0,028381;0,006367;0,011250;3000,000000;99,231342;13,242344;5,691888;2,031356;1,003052;3,018277;6,000000
