Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,213867;0,067840;0,111656;5,169938;7571,877424;-1178982460,104877;0,004229;0,250000;4,428152;0,054827;0,056828;0,856667;0,250000;0,093597;0,028381;0,006364;0,008750;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
2;0,183449;0,080120;0,136355;5,125177;7426,778380;598313659,384948;0,003289;0,250000;3,605854;0,060624;0,075730;0,806667;0,330000;0,120525;0,035000;0,008636;0,013750;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,154982;0,094580;0,161448;5,099450;7290,346074;1861912272,453058;0,002466;0,235051;3,011986;0,072922;0,088527;0,876254;0,387742;0,150033;0,043333;0,009545;0,012500;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999200
4;0,161327;0,090700;0,156162;5,100484;7319,184757;1723748502,724889;0,002867;0,244059;3,094646;0,067927;0,088235;0,843333;0,389619;0,142317;0,038333;0,006364;0,010000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001600
5;0,151153;0,096880;0,166150;5,096225;7269,424129;2028593597,122622;0,002358;0,229207;2,943617;0,073422;0,092728;0,830000;0,425625;0,151178;0,048333;0,006367;0,010000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,997200
6;0,191337;0,076870;0,128777;5,137760;7460,882840;-71986316,340174;0,003311;0,250000;3,869253;0,059836;0,068941;0,860000;0,299124;0,115214;0,028333;0,003636;0,010000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,002600
7;0,171697;0,085440;0,144201;5,111264;7375,617978;1174798067,804216;0,003339;0,250000;3,345357;0,065746;0,078455;0,826087;0,345625;0,134372;0,035000;0,006818;0,001250;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998000
8;0,202899;0,071350;0,119324;5,151359;7521,980548;-415818726,161794;0,002718;0,250000;4,069745;0,056811;0,062513;0,810000;0,279375;0,103602;0,031667;0,005455;0,007500;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;0,208745;0,070040;0,110922;5,170134;7553,508284;-1060893398,685799;0,003473;0,250000;4,344005;0,062412;0,048510;0,823333;0,233896;0,098022;0,040000;0,007727;0,007500;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,998400
10;0,157182;0,093500;0,159211;5,100540;7300,125301;1756503340,326320;0,004230;0,238416;3,058724;0,071650;0,087561;0,860000;0,415625;0,137264;0,046745;0,008186;0,006250;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,003600
11;0,182685;0,080920;0,137069;5,127518;7420,923704;340094075,701781;0,003457;0,250000;3,672459;0,062731;0,074337;0,830000;0,331250;0,122721;0,025000;0,009095;0,005006;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
