Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,133471;0,091940;0,149652;5,049121;7152,382621;740205943,420015;0,002318;0,203094;2,700986;0,061574;0,088078;0,930796;0,407619;0,118161;0,038397;0,007727;0,008750;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;0,141996;0,087550;0,138237;5,058474;7197,410456;288879813,354300;0,002558;0,216169;2,894646;0,061259;0,076977;0,847751;0,338854;0,123545;0,031667;0,008189;0,007500;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,153916;0,081350;0,125365;5,072357;7258,715549;-482623181,183578;0,004896;0,233811;3,218362;0,059155;0,066210;0,832753;0,289791;0,112878;0,028333;0,008193;0,011292;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;0,152966;0,081400;0,124006;5,076154;7260,281691;-739796391,767646;0,002459;0,232616;3,284356;0,063513;0,060493;0,833333;0,302915;0,106321;0,023333;0,011374;0,005000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;0,137702;0,090040;0,144053;5,051073;7172,908908;705294554,565340;0,003760;0,209452;2,758284;0,059518;0,084535;0,839858;0,367919;0,129220;0,032040;0,004100;0,010000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;0,122134;0,098910;0,158213;5,043422;7095,175699;997474818,639248;0,002483;0,186080;2,566787;0,068367;0,089846;0,867133;0,428119;0,134844;0,038462;0,006372;0,008750;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;0,143064;0,087580;0,138693;5,060515;7196,109405;166461809,216710;0,005123;0,217425;2,957606;0,059007;0,079685;0,842105;0,354471;0,120906;0,021667;0,005914;0,013819;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;0,143853;0,086420;0,131401;5,057197;7202,155252;304207342,906369;0,004524;0,218307;2,913553;0,060398;0,071003;0,823944;0,342930;0,111011;0,026756;0,006827;0,006250;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;0,148998;0,083920;0,129729;5,064150;7228,934034;-105133447,572376;0,002991;0,226281;3,072105;0,058610;0,071119;0,846429;0,336300;0,105888;0,036913;0,009095;0,006266;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;0,144077;0,086420;0,133824;5,061002;7209,344635;149529130,374193;0,003706;0,219139;2,960252;0,062122;0,071702;0,862191;0,351816;0,112329;0,015101;0,007273;0,005006;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
11;0,145226;0,085990;0,135438;5,058916;7213,591556;286269947,160195;0,003939;0,220801;2,931244;0,058088;0,077350;0,848592;0,368555;0,108126;0,023451;0,008189;0,010013;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
12;0,125746;0,097310;0,153131;5,043073;7109,973839;1097449771,248855;0,002709;0,191699;2,579041;0,065253;0,087879;0,872792;0,428663;0,124047;0,031773;0,008186;0,011264;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
13;0,150911;0,082600;0,125529;5,070131;7251,754231;-325910153,645478;0,003031;0,229800;3,137524;0,062664;0,062865;0,852632;0,287706;0,113921;0,026756;0,007283;0,010000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
14;0,121493;0,099350;0,162767;5,039095;7086,868698;1218954706,388538;0,003074;0,184750;2,508032;0,064038;0,098729;0,888112;0,455704;0,136140;0,028381;0,005917;0,008761;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
15;0,132801;0,093470;0,149586;5,052701;7145,360165;598318106,248393;0,004885;0,202254;2,764254;0,063244;0,086343;0,868794;0,398726;0,126511;0,036728;0,007279;0,011264;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
16;0,125468;0,097110;0,158229;5,044314;7109,993353;1023893553,524172;0,003678;0,191200;2,580350;0,064542;0,093687;0,875433;0,427934;0,135141;0,025084;0,008186;0,011250;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
17;0,163804;0,075900;0,113105;5,079726;7319,509093;-974038386,060558;0,005882;0,248672;3,437092;0,056754;0,056351;0,827586;0,264127;0,095633;0,035176;0,005462;0,007538;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
18;0,162355;0,076810;0,112747;5,078617;7310,708264;-918029314,650281;0,003216;0,246563;3,414808;0,057987;0,054760;0,853047;0,263458;0,094598;0,028428;0,010000;0,003755;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
19;0,149285;0,083230;0,127572;5,063345;7239,636350;15280313,858658;0,003619;0,227105;3,030061;0,060004;0,067568;0,840989;0,302355;0,114196;0,028381;0,008189;0,008761;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
20;0,115895;0,103410;0,166161;5,034026;7058,312556;1523124673,694398;0,003437;0,176641;2,403608;0,066303;0,099859;0,862676;0,486884;0,134187;0,026711;0,008636;0,007509;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
21;0,111539;0,105050;0,176577;5,030507;7044,187165;1701796802,092686;0,001735;0,170224;2,314456;0,066922;0,109655;0,897887;0,503802;0,149418;0,031773;0,004095;0,008750;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
22;0,164871;0,075110;0,109555;5,081304;7331,322291;-931355717,520593;0,002671;0,250000;3,441397;0,058557;0,050998;0,829181;0,236559;0,098298;0,040201;0,005005;0,007509;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
23;0,141982;0,087970;0,138088;5,058904;7196,390306;242885320,159918;0,005329;0,216187;2,913863;0,061227;0,076861;0,866906;0,369055;0,113601;0,036728;0,004552;0,008750;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
24;0,142573;0,087290;0,132512;5,057359;7196,006172;380214340,806585;0,004538;0,216595;2,891884;0,061307;0,071205;0,889286;0,323136;0,115695;0,021812;0,009103;0,008761;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
25;0,148153;0,084030;0,126098;5,062761;7228,477374;-6990747,137313;0,004038;0,225159;3,033794;0,061181;0,064917;0,846975;0,288790;0,117779;0,025042;0,004550;0,007509;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
26;0,159386;0,078950;0,117463;5,071973;7287,173589;-519348494,989156;0,004881;0,242146;3,290236;0,055146;0,062317;0,820144;0,279543;0,102852;0,033389;0,006367;0,003759;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
