Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,240616;0,494760;0,432474;4,151319;4864,346871;-4088390510,735825;0,008147;0,040000;0,370357;0,090001;0,342473;0,939716;0,871912;0,592458;0,026801;0,005460;0,001259;250,000000;143,033772;27,398049;10,522558;2,112998;1,008884;3,014658;6,000000
2;-0,226732;0,400440;0,424276;4,342090;5120,000360;-4629056835,007111;0,002150;0,040000;0,463008;0,077456;0,346820;0,910714;0,863874;0,578398;0,036789;0,006364;0,003755;250,000000;139,983455;26,766507;9,707923;2,138938;1,006617;3,010522;6,000000
3;-0,223282;0,374340;0,442803;4,385456;5196,708820;-4834012009,741604;0,004323;0,040000;0,488058;0,081491;0,361312;0,925795;0,863844;0,615262;0,038397;0,007731;0,012531;250,000000;140,381589;26,681646;9,620250;2,127163;1,011520;3,060109;6,000000
4;-0,206990;0,294200;0,421589;4,484263;5456,601382;-5272455528,819870;0,003010;0,040000;0,563281;0,082790;0,338798;0,883803;0,848982;0,579031;0,030050;0,005914;0,010000;250,000000;139,171568;26,376880;8,562831;2,077505;1,006789;3,042017;6,000000
5;-0,234738;0,441280;0,431628;4,273460;5006,131042;-4380103284,511311;0,009830;0,040000;0,423155;0,081822;0,349806;0,876364;0,847513;0,602625;0,033333;0,006367;0,003783;250,000000;140,607467;26,534214;10,238244;2,122751;1,007547;3,037037;6,000000
6;-0,235278;0,439360;0,430604;4,265820;5012,887696;-4448894783,490027;0,005331;0,040000;0,419707;0,085857;0,344747;0,919580;0,864341;0,589633;0,030201;0,005455;0,002519;250,000000;141,536054;27,090091;10,183155;2,119773;1,005599;3,030736;6,000000
7;-0,217903;0,353630;0,422740;4,414417;5259,382175;-4876175323,216393;0,004401;0,040000;0,506803;0,081535;0,341205;0,882979;0,847358;0,583239;0,025126;0,005000;0,005019;250,000000;139,277788;26,281411;9,228454;2,090061;1,005887;3,026607;6,000000
8;-0,220099;0,375430;0,395091;4,379501;5195,738488;-4740854690,369339;0,005927;0,040000;0,484906;0,076798;0,318293;0,882979;0,851078;0,517788;0,031667;0,009112;0,003764;250,000000;139,917132;26,680406;9,122419;2,127440;1,012373;3,019306;6,000000
9;-0,236028;0,445150;0,429052;4,266413;5000,216941;-4469690393,153201;0,004552;0,040000;0,422999;0,087909;0,341143;0,926573;0,863548;0,585627;0,040067;0,007731;0,002509;250,000000;142,083053;27,058106;10,093192;2,128569;1,010774;3,010026;6,000000
10;-0,235242;0,446140;0,424125;4,254989;4993,846660;-4400973865,254643;0,006016;0,040000;0,416409;0,083808;0,340317;0,928826;0,881664;0,567006;0,038462;0,008652;0,002519;250,000000;142,257269;27,197723;10,041544;2,140277;1,013166;3,035177;6,000000
11;-0,237282;0,446600;0,446661;4,261875;4990,627536;-4396082752,977447;0,003156;0,040000;0,417360;0,088253;0,358408;0,911972;0,884162;0,619371;0,035294;0,007276;0,005006;250,000000;140,304991;27,164766;10,264366;2,127989;1,009815;3,019159;6,000000
12;-0,241398;0,509150;0,441683;4,103043;4822,484637;-3937700425,665867;0,006243;0,040000;0,352697;0,085973;0,355709;0,930556;0,853056;0,618636;0,031720;0,005914;0,002519;250,000000;141,923238;27,324552;11,126358;2,124182;1,010120;3,023579;6,000000
13;-0,235736;0,441220;0,444026;4,265535;5006,229381;-4425274521,957545;0,002489;0,040000;0,421811;0,082408;0,361618;0,933566;0,864529;0,620236;0,021776;0,009550;0,003755;250,000000;141,619838;27,030067;10,303097;2,071940;1,012694;3,017532;6,000000
14;-0,241525;0,513350;0,437627;4,085307;4811,106132;-3887232521,950144;0,006500;0,040000;0,345333;0,087098;0,350529;0,925532;0,862951;0,607538;0,041876;0,002274;0,002519;250,000000;142,718564;27,432454;11,220638;2,135775;1,002684;3,026118;6,000000
15;-0,226999;0,402860;0,425907;4,338488;5114,651469;-4590064556,714359;0,003849;0,040000;0,459027;0,075112;0,350795;0,919580;0,875736;0,577394;0,031879;0,005005;0,003764;250,000000;140,965309;26,970604;9,601932;2,121906;1,007413;3,012293;6,000000
16;-0,240759;0,506030;0,432003;4,121405;4834,055606;-3980959580,532397;0,008004;0,040000;0,358885;0,086625;0,345379;0,911348;0,865234;0,591989;0,026801;0,010919;0,002525;250,000000;142,542770;27,348674;10,900659;2,089256;1,014946;3,033418;6,000000
17;-0,210023;0,312350;0,418456;4,463262;5393,331979;-5133267805,501215;0,003599;0,040000;0,543344;0,079967;0,338488;0,877622;0,855927;0,569005;0,035058;0,005462;0,008750;250,000000;139,342122;26,498930;8,765209;2,137067;1,007933;3,036608;6,000000
18;-0,198616;0,257710;0,411072;4,517317;5579,060615;-5392399611,425747;0,002967;0,040000;0,594093;0,078314;0,332758;0,911972;0,841527;0,552239;0,043551;0,006372;0,006258;250,000000;141,300426;26,225609;8,223762;2,128812;1,011698;3,024324;6,000000
19;-0,231940;0,419950;0,433682;4,309294;5066,984182;-4565356559,208076;0,006641;0,040000;0,444344;0,081919;0,351763;0,919014;0,858908;0,597288;0,041736;0,006367;0,003778;250,000000;140,638443;26,889921;10,040638;2,165361;1,009325;3,035691;6,000000
20;-0,241982;0,505970;0,438697;4,122731;4833,531131;-3988955838,407513;0,006846;0,040000;0,357607;0,092261;0,346436;0,885714;0,865271;0,607741;0,056761;0,007727;0,001259;250,000000;141,150583;27,437786;10,815186;2,216708;1,009994;3,013411;6,000000
21;-0,241869;0,519280;0,431802;4,086844;4798,047341;-3857380471,767652;0,005322;0,040000;0,346543;0,089131;0,342671;0,928058;0,871345;0,587409;0,052013;0,006831;0,000000;250,000000;142,165866;27,387362;10,903832;2,249202;1,008560;3,010163;6,000000
22;-0,141222;0,141210;0,257639;4,588890;5951,844340;-5843934280,465019;0,005021;0,040000;0,748232;0,067912;0,189727;0,859779;0,781513;0,236327;0,038462;0,008197;0,006281;250,000000;138,983892;25,217883;6,838697;2,121179;1,011901;3,015194;6,000000
23;-0,225929;0,394410;0,428295;4,351702;5139,118411;-4683773952,721784;0,003455;0,040000;0,465592;0,078168;0,350127;0,919861;0,848168;0,589581;0,045075;0,005457;0,007528;250,000000;141,478862;26,546759;9,688420;2,189980;1,006528;3,029015;6,000000
24;-0,236144;0,448220;0,436839;4,253381;4987,900673;-4381734590,071782;0,006696;0,040000;0,415941;0,082994;0,353845;0,923345;0,856771;0,607199;0,030050;0,005912;0,001259;250,000000;141,724434;26,906050;10,380478;2,123587;1,009586;3,024973;6,000000
25;-0,215052;0,346150;0,407140;4,416808;5285,118140;-4918943160,809950;0,004047;0,040000;0,509931;0,073739;0,333401;0,904930;0,852673;0,544550;0,023569;0,004548;0,007509;250,000000;140,333960;26,475830;9,089753;2,082142;1,007424;3,017034;6,000000
26;-0,231543;0,418310;0,438092;4,314602;5068,708333;-4531920369,555909;0,002337;0,040000;0,445636;0,080607;0,357485;0,895307;0,868608;0,606136;0,040134;0,006372;0,005025;250,000000;139,895162;26,907441;9,870473;2,125772;1,009516;3,014081;6,000000
27;-0,150435;0,146980;0,265773;4,577919;5914,622330;-5974369966,927300;0,005367;0,040000;0,744828;0,071726;0,194047;0,862816;0,812622;0,246560;0,023411;0,006824;0,007500;250,000000;137,897574;25,697707;6,931478;2,088143;1,009705;3,020032;6,000000
28;-0,226975;0,394720;0,433232;4,349788;5134,963053;-4725727707,010222;0,004965;0,040000;0,466834;0,081809;0,351423;0,916084;0,854640;0,597873;0,030151;0,007276;0,010025;250,000000;141,648156;26,764692;9,732455;2,106443;1,008533;3,063332;6,000000
29;-0,237185;0,463030;0,433686;4,217642;4947,778778;-4287858345,437111;0,003319;0,040000;0,400200;0,081977;0,351709;0,923611;0,866234;0,597732;0,020033;0,006367;0,002513;250,000000;142,355969;27,232718;10,500645;2,061080;1,010362;3,013176;6,000000
30;-0,238701;0,476420;0,434623;4,199357;4913,755053;-4182384225,044149;0,002287;0,040000;0,389837;0,084827;0,349796;0,913357;0,864829;0,600904;0,035176;0,005457;0,006266;250,000000;140,695901;27,121850;10,539167;2,146013;1,007804;3,026086;6,000000
