Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,038715;0,114140;0,196870;4,922992;6662,242232;-612971721,381321;0,002760;0,061519;1,635614;0,065220;0,131651;0,915493;0,689258;0,127130;0,036728;0,008189;0,006250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;0,057337;0,101890;0,176251;4,934249;6750,624719;-976413333,493926;0,003540;0,089591;1,796364;0,057506;0,118745;0,848057;0,579249;0,125084;0,036667;0,006367;0,003759;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,065106;0,097160;0,161642;4,945514;6790,670505;-1437760239,781204;0,002569;0,101407;1,945662;0,060502;0,101139;0,873646;0,489227;0,123404;0,036789;0,006367;0,002500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;0,064803;0,097030;0,160955;4,947726;6789,706862;-1555138486,273825;0,002350;0,100895;1,967244;0,062588;0,098367;0,861592;0,491071;0,120188;0,028381;0,006369;0,012500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;0,042359;0,111630;0,190332;4,921439;6680,554305;-544256528,246425;0,002233;0,067262;1,639245;0,063309;0,127023;0,848375;0,637356;0,137761;0,030050;0,007279;0,007509;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;0,025117;0,123540;0,219935;4,914064;6608,334187;-322367735,356271;0,001493;0,041973;1,512838;0,068099;0,151836;0,912281;0,779055;0,147916;0,031667;0,008186;0,003750;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;0,055731;0,103030;0,179360;4,931773;6742,475959;-917290888,341785;0,003020;0,087061;1,777954;0,056592;0,122768;0,856140;0,593372;0,128222;0,021703;0,005909;0,006258;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;0,058195;0,100940;0,169728;4,935977;6757,907318;-1035934592,810837;0,003144;0,090798;1,812078;0,060545;0,109183;0,860068;0,537179;0,123235;0,041946;0,006824;0,002500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;0,065370;0,096610;0,159875;4,944334;6794,051306;-1340129993,937308;0,002313;0,101639;1,919540;0,060117;0,099758;0,881720;0,493639;0,115040;0,048658;0,005002;0,011250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;0,054432;0,103360;0,174695;4,930323;6740,021608;-887591069,757829;0,002189;0,085124;1,760269;0,059780;0,114915;0,893993;0,562179;0,125392;0,033445;0,007273;0,005025;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
11;0,058084;0,101360;0,165268;4,935499;6759,552795;-959109576,855882;0,003324;0,091015;1,805855;0,061963;0,103305;0,861818;0,518542;0,120458;0,038462;0,008644;0,010000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
12;0,031327;0,119600;0,209293;4,916286;6632,000085;-348146538,823647;0,003268;0,051045;1,550129;0,065556;0,143737;0,911565;0,725225;0,142441;0,026801;0,007283;0,012500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
13;0,068041;0,095470;0,155818;4,948505;6808,276186;-1410968670,251808;0,002976;0,105946;1,955718;0,060753;0,095065;0,885305;0,475765;0,112528;0,031933;0,010469;0,007500;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
14;0,028100;0,122520;0,214885;4,912863;6614,486126;-278054178,368897;0,002674;0,046402;1,528650;0,064819;0,150066;0,894366;0,750485;0,149485;0,031773;0,008644;0,006250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
15;0,068753;0,094020;0,151913;4,945102;6815,041891;-1261359837,322791;0,003090;0,106740;1,913754;0,060664;0,091249;0,857143;0,434421;0,120574;0,036667;0,005917;0,008772;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
16;0,022158;0,126070;0,225826;4,908204;6589,566064;-169407166,487760;0,002125;0,040136;1,475754;0,065272;0,160554;0,901754;0,778208;0,164427;0,025042;0,005914;0,011250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
17;0,077240;0,089680;0,147592;4,957007;6855,138176;-1763037389,419273;0,003688;0,119620;2,077553;0,058029;0,089563;0,844828;0,439567;0,106216;0,050251;0,006372;0,012531;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
18;0,088656;0,083360;0,128697;4,966833;6914,604022;-2121851529,505314;0,003177;0,136879;2,241431;0,056728;0,071969;0,884892;0,365776;0,093372;0,032040;0,005914;0,006250;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
19;0,046807;0,107920;0,188708;4,932534;6706,555580;-927073643,663222;0,001706;0,073845;1,732233;0,065217;0,123490;0,871528;0,624365;0,133214;0,031667;0,006369;0,013750;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
20;0,026662;0,122770;0,216604;4,908599;6613,118240;-136465047,468172;0,001834;0,044349;1,487628;0,064516;0,152088;0,872340;0,784794;0,144524;0,026667;0,006818;0,003755;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
21;0,014947;0,130610;0,227158;4,902974;6565,067198;44660048,781846;0,001643;0,040015;1,408309;0,072144;0,155014;0,896429;0,801030;0,158131;0,026756;0,010455;0,008750;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
22;0,092773;0,080560;0,123373;4,969565;6941,797442;-2124884844,720939;0,004646;0,142991;2,255737;0,056592;0,066781;0,835714;0,328056;0,095270;0,038462;0,007738;0,007519;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
23;0,064003;0,097720;0,164749;4,939141;6784,206039;-1145502596,579704;0,004449;0,099536;1,866990;0,056430;0,108318;0,893238;0,519157;0,119426;0,028381;0,005914;0,006258;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
24;0,052149;0,104900;0,179011;4,930852;6730,352898;-807307010,958931;0,003180;0,081804;1,730950;0,060949;0,118063;0,903571;0,589251;0,123910;0,036851;0,005457;0,015000;1250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
