Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,032635;0,096240;0,181009;4,897100;6631,319696;-2790660323,328093;0,003960;0,052574;1,657963;0,056334;0,124675;0,900000;0,619762;0,113237;0,030000;0,006364;0,008750;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999200
2;0,005713;0,112300;0,215108;4,868686;6525,107537;-1936945814,831554;0,002538;0,040001;1,372694;0,062831;0,152276;0,866667;0,773125;0,136091;0,033389;0,005909;0,010000;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000600
3;-0,052471;0,138920;0,258177;4,782800;6356,932027;-733062843,584498;0,002266;0,040000;0,956728;0,087526;0,170651;0,903333;0,821026;0,210047;0,045000;0,008182;0,010000;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001400
4;-0,030177;0,128370;0,237743;4,815297;6422,172706;-1156615626,077526;0,001819;0,040000;1,094192;0,079648;0,158095;0,853333;0,798998;0,180080;0,025042;0,005000;0,010000;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999200
5;-0,043400;0,135400;0,252226;4,797948;6379,692500;-906902578,598386;0,001970;0,040000;1,014833;0,083442;0,168784;0,866667;0,809136;0,204000;0,050000;0,006818;0,006250;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;0,002744;0,115360;0,220098;4,870080;6504,919320;-2078059126,283970;0,003287;0,040000;1,401523;0,064158;0,155940;0,910000;0,772358;0,143651;0,041667;0,006364;0,007519;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,001000
7;-0,008996;0,119520;0,225325;4,848327;6477,295653;-1533756071,658203;0,003566;0,040000;1,243799;0,069469;0,155856;0,852349;0,766437;0,162180;0,036667;0,006364;0,010000;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
8;0,022259;0,103750;0,200420;4,888816;6583,040172;-2443667777,165988;0,002985;0,040252;1,546680;0,056334;0,144086;0,863333;0,726533;0,120080;0,035000;0,007276;0,007500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000800
9;0,026770;0,100450;0,192215;4,892230;6605,517949;-2561796047,157956;0,003906;0,044194;1,583603;0,056334;0,135882;0,870000;0,688750;0,114546;0,033333;0,005909;0,012500;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999800
10;-0,066595;0,146770;0,274592;4,762279;6318,954657;-585760911,369901;0,002157;0,040000;0,890907;0,091464;0,183128;0,903333;0,844180;0,240267;0,036667;0,008182;0,005000;1000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;5,999400
