Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;0,212438;0,085880;0,127535;5,181378;7537,999296;1378626673,042350;0,004082;0,250000;4,234743;0,064676;0,062859;0,881119;0,292278;0,115591;0,035176;0,006367;0,003759;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;0,226062;0,080190;0,121102;5,198590;7594,587095;815207033,100372;0,006228;0,250000;4,562177;0,057927;0,063175;0,801444;0,265565;0,116263;0,035176;0,007276;0,005013;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;0,233483;0,078480;0,116319;5,218216;7624,051991;-85139904,447363;0,007080;0,250000;4,951694;0,059369;0,056950;0,843206;0,251748;0,105687;0,026756;0,010464;0,006258;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;0,242626;0,074320;0,106366;5,235773;7665,168562;-997849097,614864;0,003121;0,250000;5,374018;0,061543;0,044823;0,831541;0,218274;0,100022;0,020067;0,006824;0,006266;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;0,217543;0,083400;0,128717;5,184864;7560,968531;1335954695,185261;0,003884;0,250000;4,295253;0,059571;0,069146;0,818505;0,285533;0,125056;0,041806;0,002731;0,008761;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;0,205535;0,088600;0,136707;5,170526;7505,440173;1684702236,768123;0,003030;0,250000;4,064815;0,064019;0,072689;0,870629;0,309252;0,130523;0,030151;0,005457;0,008750;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;0,218005;0,083700;0,126815;5,190915;7558,148708;1005672501,918464;0,002767;0,250000;4,417932;0,062298;0,064516;0,835714;0,289956;0,114548;0,041806;0,010005;0,008761;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;0,221908;0,082130;0,121530;5,193077;7574,823537;982671038,951104;0,004076;0,250000;4,468850;0,060361;0,061169;0,825175;0,278803;0,110588;0,033445;0,004098;0,010025;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;0,218651;0,083510;0,126626;5,193207;7558,700397;787098957,298675;0,002925;0,250000;4,491479;0,062607;0,064019;0,858657;0,292884;0,114094;0,031987;0,007276;0,008761;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;0,216853;0,084010;0,127130;5,188604;7554,848101;1076129331,503807;0,003186;0,250000;4,378328;0,062607;0,064523;0,882562;0,303107;0,110190;0,020101;0,009095;0,013750;2250,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
